CommunityName,DataProvider,SiteName,Latitude,Longitude,Elevation,MonitorID,ParameterCode,ParameterName,DateTime,MeasuredValue,Units,MeasuremnetTechniqueCode,MeasurementTechniqueDescription ,SamplingDuration,SamplingFrequency ,SamplingFrequencyUnits
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/2/2019 8:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/2/2019 9:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/2/2019 10:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/2/2019 11:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/2/2019 12:00,4,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/2/2019 13:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/2/2019 14:00,4,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/2/2019 15:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/2/2019 16:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/2/2019 17:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/2/2019 18:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/2/2019 19:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/2/2019 20:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/2/2019 21:00,10,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/2/2019 22:00,4,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/2/2019 23:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 0:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 1:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 2:00,11,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 3:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 4:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 5:00,2,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 6:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 7:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 8:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 9:00,4,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 10:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 11:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 12:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 13:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 14:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 15:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 16:00,7,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 17:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 18:00,9,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 19:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 20:00,8,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 21:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 22:00,4,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/3/2019 23:00,4,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/4/2019 0:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/4/2019 1:00,5,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/4/2019 2:00,2,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
Shafter,SJVAPCD,Shafter_Grimmway,35.491227,-119.28719,111,18654,88101,PM2.5,7/4/2019 3:00,6,ug/m3 (LC),209,BETA ATTENUATION,1 Hour,1,H
